prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
86.29751952868999,90.25208345564671,94.97200962165338,88.83610198635701,88.9
81.26796337648916,80.22272698394897,79.14829685138149,72.5472019492483,86.6
83.28756579108689,84.97444637492609,80.85070088191945,81.41712221440267,68.5
73.35127234920564,75.18174126456886,74.0121999673352,87.1025505595342,76.1
89.90031103452537,87.10782653798165,89.78400971182542,99.57853341259742,109.7
107.04979910541256,111.76331753354552,125.61002803110807,142.31192483988477,127.8
126.6811354048304,145.7062155014845,174.43474007717188,159.0353499987754,169.1
183.00338811514146,209.00215585871467,210.79661629027746,192.2610724502929,189.3
220.26420132437627,222.64745022982433,185.83415471527277,167.9149490229355,224.8
236.80023678383702,206.83269353083878,196.42160713212667,188.09788682206027,225.5
224.0112721024885,201.73083452010468,176.2547302001173,173.82684601482725,226.7
216.11811242931276,174.35659015164975,150.19951069399912,146.6347449818997,175.9
171.3631076046608,177.29836656467822,169.71915922302296,162.75724273021834,183.4
191.76683139117372,211.6846203189778,211.5854461214641,181.0820527948708,196.6
235.79110312304346,261.0423931337655,225.2613258611961,179.6703889571173,248.3
277.1073454029457,223.75381237351695,166.5122230327355,148.27061773008435,323.8
249.24810075886134,192.8828715113243,164.4643947135267,157.01905879159776,328.5
233.9430204438496,177.50622825646968,143.96711086067108,145.86418181489756,288.7
216.38232268084852,157.55324209858543,129.52923695122928,121.97371918290372,209.7
181.2359801651318,160.20745015053149,131.085312554452,124.84451912784954,158.8
163.36069581529014,149.4116304663517,142.25706105481805,129.0000802126346,108.0
130.20791216900764,120.04420137069648,126.17090279687086,117.66144245964303,91.3
108.76617936237413,92.2332415900438,98.78757842535163,94.70779379036225,76.4
83.18110699414873,77.86037725967431,82.92748952887032,87.70425993249383,61.7
71.24885674027662,76.82540547626888,79.76414312678213,85.28817686765893,53.3
53.93726723099853,62.44875121926133,64.96473780582875,73.42729517409342,48.3
50.78644847702314,51.87573798575059,61.07442634740756,62.99945038353086,46.0
51.415407818275874,54.785020875781214,59.63578507005549,62.96933547254437,52.4
45.16990837418811,50.15680260945015,51.31572145897995,62.59852127794561,39.5
37.17937955586925,36.41451768882513,37.23222102552427,44.97777247993223,35.2
33.563035597820324,33.64106285382521,34.98058110979143,46.04314181330947,31.3
27.120529457653944,30.3154243392346,33.03523765421069,41.330660983923416,40.6
36.995963808841445,41.62897064151765,47.12105557859511,55.53241645139259,41.6
43.405666226519706,46.66412645276683,52.55294868410169,56.79332444192287,51.1
50.13619210674342,56.77209806462418,59.93774181459395,62.761300836917464,85.8
73.55410838409706,77.99865373000331,78.04520741821194,72.79126622408062,139.4
96.99325758371964,97.74865258275369,98.53254541848875,80.374277030163,139.2
109.4750088648731,102.2386886749119,97.26756345806585,79.51717522175552,129.0
101.92982458412847,90.65833726258053,81.78652754246333,78.03191780968542,128.6
