prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
10.391920235105921,11.494491834912035,13.418395254549525,12.405656575055348,11.9
12.970677411170238,14.27581792275394,16.425776877607614,16.76474361069808,13.8
14.006117919683456,15.122455983037044,15.758418104911605,15.875351146959122,14.0
16.039559669000752,17.122028658287867,16.451481346179563,17.01216644117567,14.9
16.07464431998465,17.33110914273489,17.881278616649762,18.975350434492505,17.4
16.981062918290252,17.801775055397126,18.15902550217841,19.209159887805825,12.4
15.631640547737243,17.842888599066512,21.334103650013606,25.015839753714825,22.5
26.086590666562792,34.550516413751104,40.051773757315814,51.60271757170702,27.7
33.19731313192277,50.751579119474165,81.36125359996917,99.45525817735427,36.7
52.221331690729954,68.22301955037543,94.01146802275137,85.45591176240215,41.7
74.49430841866561,96.67292009110679,95.15750387118837,87.83083647128512,42.2
69.92906460704313,74.60284520151089,73.76267357016742,70.48978077396994,29.3
46.341491665823135,43.80560180699636,66.47841265843027,78.40864251263935,40.3
69.60353519180842,79.67098884588387,109.8750181003809,113.2530026583085,43.5
70.18558640414193,104.66972659571584,132.4383776950136,127.4168535540312,68.4
88.56239411276857,93.9548137215073,110.55843312987449,101.96549105726537,108.8
136.33102070978708,126.50189571459143,115.04735177623277,86.77953071886017,176.9
135.2919786540459,114.28558468917436,80.02600906549179,69.79026533253332,182.7
117.7873117312931,93.40337982417287,63.19285713620413,50.83029920383863,152.2
98.11357008205142,73.50556829097914,49.58910393799345,40.435955006165244,103.4
75.50747861815256,58.085198072713546,43.07725574749992,29.82917810920307,71.4
57.25877217585699,38.382314047592025,29.64875055408193,24.485537064190897,46.1
37.33103333366485,28.193546401954833,20.810928602854407,16.6152055924355,33.5
27.207204254729405,19.58950887508998,15.813799585843501,12.949817493037571,24.9
18.208457912700514,14.25705524846013,12.385184293731813,10.64440712957723,17.2
13.768383427792127,11.74055317125812,10.326271998320308,9.361713058403561,17.7
13.56398508600979,11.737197002367372,10.618983303115481,9.636167440496267,14.9
15.082473417715416,13.994081557078019,12.910110139142903,12.481307984656755,14.5
13.487004367847295,13.132403589581683,12.285655016185743,12.130945667072421,11.2
9.865252563515353,9.832489930734749,7.930231949914068,7.940706343823951,9.1
10.238798813311824,8.551479397781787,7.667026205349539,7.63733289636837,8.2
8.113305378638563,7.340063322725751,6.700480128679957,6.336852363084045,11.4
8.487956929150558,7.8339982043873695,7.479501184250625,7.2639239846023305,10.6
8.57875375760763,7.896262485538212,7.771745830124331,7.562458893634024,6.9
7.121438676822754,6.469004941729802,6.24454994449114,5.61516108253362,8.4
7.386277375173002,6.736504115229559,6.481670182861032,6.1263190269801315,9.1
6.560575365969117,6.229584483140989,5.344128566010605,4.681182154838055,5.6
5.44322377886091,4.8060476151719,4.2077127717705,4.286448819137752,5.8
5.966793428602673,5.098354154607607,4.721711575282473,4.197814077105787,4.3
4.145619837908518,3.991191667643806,3.5876767810207055,3.6390071466664464,5.4
4.0987396840188275,3.998325002752598,3.574955345953504,3.5610140917717463,4.6
3.6004857141914837,3.452382156680029,3.1146061490795454,3.422207930650503,5.5
4.3225940537105,3.9642670859415396,3.577674995534476,3.6138186410670246,3.9
3.5111275891690026,3.4749297771141654,3.6417142698062346,3.818327371943566,3.2
3.224363302240769,3.3021350703352983,3.5432803458578523,4.420548815248977,3.7
3.54438095951932,3.381421386173793,4.1172380973469656,5.875659521768489,5.5
4.339715086464372,4.227722636981615,6.203826201555273,8.531298828264077,3.4
3.803643052470119,5.709713500406531,6.8286928688727695,7.671071426972037,6.5
8.04912381022317,10.071510926208799,11.013426784345086,12.157229756412052,11.1
9.508112723626787,10.999524975972518,12.171598791031615,13.405765507973381,13.5
11.315492810341572,13.688814293163157,14.37773809463353,15.963521460743184,17.0
14.863273507750225,16.338592003753174,16.48992206060319,16.079794140717333,19.4
16.577625220605306,17.302935754900897,16.314936908778694,16.57177080437683,20.5
