prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
10.348112946489614,10.421374133427696,11.785494849862737,12.64895177431623,8.6
11.11769536397298,10.89713492140728,11.24401322242451,13.880655873654444,6.2
8.688859901798095,9.686205132181115,12.317816334386587,13.612125568130809,7.3
9.328222558633303,11.982592860997531,13.437115751699325,14.04906272789725,8.2
10.301155505562948,12.43948098026071,13.434417008758375,18.92362496632527,9.2
10.912001860198496,11.706149168731407,16.139882791583794,18.928447914616644,10.8
13.510149111652929,14.080485685754672,20.034245627012623,24.560124914986616,8.7
18.60874697306584,27.640551509744114,30.617548984511323,38.62946018431048,7.5
19.601483382134443,21.40592438313921,31.887532122302034,40.23921609188614,15.9
19.734240631890046,31.185777189419696,40.90811474974432,52.895054972204264,15.0
24.753605072449265,31.70550674807868,45.67805218907788,44.000651719219675,22.5
26.916471637297253,35.89919079014207,44.742239334036476,47.336792386066755,14.9
27.957543612451563,35.46859386583184,39.77144803425546,43.06744367385768,28.0
33.33069758945844,38.96644002467067,47.58512180339794,48.66757003571739,31.7
41.70602223425619,46.856496674209644,52.773056623861024,47.97651709996533,28.8
32.96607298311306,41.374550738190734,43.4467742036001,42.39620392656892,29.4
30.911305148395215,33.94488281591,26.136854998116288,25.556891028509895,23.1
23.907556677136697,26.810833071319347,25.023237909624918,20.407096734787782,17.1
18.95785331690638,20.678184259129413,19.067141382319246,17.4882723878132,13.1
16.75538474661466,20.98434392970548,18.474443167623114,17.08666833899026,14.6
19.268899588807717,21.223937458935776,20.841340781711327,25.852669458249483,10.1
15.930116317938369,16.624037581643407,22.902492838408424,21.56478659495463,12.3
14.199795199265582,23.66818061708953,19.290138576927077,16.50802417214961,8.4
20.81164940509823,17.458421651620956,12.586064787369025,10.43943768732932,5.9
13.17173987882114,11.804083281640219,9.832101021832951,9.514221995187302,6.0
7.353106269698923,8.103999865990083,7.678848265636514,7.774552047699395,6.0
6.249044243332735,6.577348129463871,6.485424036700197,6.938754683491464,4.5
6.181613661279463,6.192155258038344,6.161680134058619,6.673512536790774,4.2
5.931467822834284,5.846466271227392,5.855286460290439,5.68961466889609,6.5
5.785620112804347,6.2310085273883145,6.126952896147244,7.2580068832415945,5.9
4.819072721845432,5.485602371537844,6.037966466680971,6.477202131715644,4.0
5.36381940319888,6.257073724116493,6.106957540925439,6.241809277055751,4.6
5.051747904546886,5.693207687359964,5.713512283510609,6.782849933338575,2.4
4.378238115868727,5.419846131690267,4.858879855433096,5.484224121040557,1.0
3.6698815171936,3.8668934784748332,4.500407291064945,4.7806132831706325,1.6
3.1021607590410576,3.6421534489925125,3.799871822942451,4.254840755708557,3.4
2.919725702271013,3.739290126300783,3.7612710283043533,3.8754611795042075,4.3
3.6766673712418423,3.9661091747459665,4.054224201581958,4.645220610842281,2.8
4.15287051902589,4.281533266366717,4.357965433871393,5.096854333329445,2.8
4.240354276268583,4.642427291040879,4.6825623875265405,4.743862786712039,3.0
4.171101147226956,4.738455431632885,4.795461722573284,5.239261494557822,1.8
3.855355384410858,3.931035755865176,4.3080043067483285,4.89814074421895,2.0
3.211605031669154,3.8305635543903906,4.764574642699124,4.648165475032039,0.6
2.9116396445865274,3.6726881708782053,4.710057900408522,5.078428984901467,1.2
2.7106056598092296,3.420952729841353,4.112131727431794,5.0243075406477935,3.0
3.0811911932441536,4.074397121475512,4.719753056818361,4.591954306395241,1.4
3.4380333202485547,3.9032135434697124,4.870198949417279,5.413299852694665,1.4
3.814424094844312,5.127192902684441,5.889192096624146,6.244797481666129,2.4
3.054281751983881,5.227091681811227,6.257061032105476,6.142040636487306,2.8
4.132335877601922,6.282391817238907,6.769679190450768,6.711425746506953,4.3
4.860922818271984,6.050713390746803,7.137565432060486,7.762028060523866,5.0
5.594154438359851,7.409707517239881,7.476161949997279,7.992147636456286,6.3
6.202999407559693,7.202806868872566,8.144042321389167,8.525672158292425,7.9
