feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.29671032462030594,6.615682515570717e-12,0.3212322406008465,8.404485269113332e-14,514
temperature_2m_min,-0.4837053439079252,1.6849335929815576e-31,-0.5827188201055323,4.540903409112935e-48,514
temperature_2m_max,-0.4722732239470405,6.482995394066205e-30,-0.560858505381399,6.371305396095073e-44,514
covid,0.41529348278093814,7.543813209019714e-23,0.3543241504136716,1.193185400625323e-16,514
