feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.14734306387029894,0.007897080408447152,0.24140799204079452,1.1143568037843e-05,324
temperature_2m_min,-0.45695823960048104,4.036386156634424e-18,-0.5458907336310576,1.472553339793275e-26,324
temperature_2m_max,-0.401453636566735,5.613619854331667e-14,-0.5060677279156607,1.7909053928833137e-22,324
covid,0.018073968093117686,0.7458619240753718,0.17278514283626561,0.0017985691573265787,324
