feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.256334971972053,3.852695222820677e-09,0.47257160564135253,6.705870214778632e-30,513
temperature_2m_min,-0.42213416101512713,1.3847311465204413e-23,-0.6764703795414857,6.799210447010531e-70,513
temperature_2m_max,-0.40112461007046574,2.9799512235850303e-21,-0.6562893506566085,1.6440687256049134e-64,513
covid,-0.10452199993834345,0.017880379601885692,-0.24097029986566723,3.2727568626513784e-08,513
