feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.5176615665983436,2.9384039220142924e-37,0.5462936317954913,4.236326923454657e-42,524
temperature_2m_min,-0.6527597568992014,6.084390621156593e-65,-0.6617885558753241,2.5676789114962074e-67,524
temperature_2m_max,-0.6924390365154351,4.9381974938222644e-76,-0.7071781086321662,1.2613720163923597e-80,524
covid,-0.2768670649536392,1.1249070090609134e-10,-0.2710576156632375,2.818376133021595e-10,524
