feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.23855486076779148,6.6122674056e-06,0.3307085369406619,2.3716766316092816e-10,349
temperature_2m_min,-0.4460314483029464,1.8311617369140422e-18,-0.5128633336889931,8.331165797992454e-25,349
temperature_2m_max,-0.4383532573323971,8.055682155434633e-18,-0.5400335456667428,8.23274640350141e-28,349
covid,-0.14367075180592975,0.007181199859284915,0.02298576390021328,0.6687053531538236,349
