feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.4123995613811103,1.5918580077369567e-22,0.45473187434945184,1.351385981343411e-27,514
temperature_2m_min,-0.4522885679919493,2.774987975924907e-27,-0.498009614725894,1.4357868581166914e-33,514
temperature_2m_max,-0.45530226513440986,1.1414747112729035e-27,-0.5029638448244746,2.6136269144001843e-34,514
covid,0.1192544536078925,0.006794162779289554,0.00649623330244499,0.8831929760593789,514
