feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
relative_humidity_2m,0.09008182326697525,0.03927107880761434,0.14394094390720213,0.0009520950016790987,524
temperature_2m_min,-0.35289674334363497,8.199464190372709e-17,-0.5907238316154934,1.3259108062465826e-50,524
temperature_2m_max,-0.3125937200074599,2.428340919348213e-13,-0.5441145662771628,1.0279077974000602e-41,524
covid,-0.04293738508432599,0.32659920755001676,-0.011402451925188009,0.7945558693695192,524
