country;model_name;horizon;feature;importance
BE;ILI;3;week_sin;0,037777916
BE;ILI;3;week_cos;0,07434667
BE;ILI;4;temperature_2m_max;0,045185544
BE;ILI;4;temperature_2m_min;0,033308625
BE;ILI;4;covid;0,07467437
BE;ILI;4;year;0,055500567
BE;ILI;4;lag_value_1;0,101938576
BE;ILI;4;lag_temp_max_1;0,15244076
BE;ILI;4;lag_temp_min_1;0,016236939
BE;ILI;4;lag_value_2;0,023869617
BE;ILI;4;lag_temp_max_2;0,082491316
BE;ILI;4;lag_temp_min_2;0,014223937
BE;ILI;4;lag_value_3;0,02990515
BE;ILI;4;lag_value_4;0,04445827
BE;ILI;4;lag_temp_max_4;0,022494568
BE;ILI;4;lag_temp_min_4;0,022545272
BE;ILI;4;month_sin;0,084349975
BE;ILI;4;month_cos;0,049431693
BE;ILI;4;week_sin;0,05227732
BE;ILI;4;week_cos;0,0946675
BG;ARI;1;lag_value_1;0,31377518
BG;ARI;1;lag_value_2;0,044866636
BG;ARI;1;lag_value_3;0,020992063
BG;ARI;1;lag_value_4;0,028153343
BG;ARI;1;lag_temp_min_4;0,012313517
BG;ARI;1;month_sin;0,031889584
BG;ARI;1;month_cos;0,35505587
BG;ARI;1;week_sin;0,038182013
BG;ARI;1;week_cos;0,15477182
BG;ARI;2;lag_value_1;0,07838898
BG;ARI;2;lag_value_2;0,02430214
BG;ARI;2;lag_value_3;0,025910534
BG;ARI;2;lag_value_4;0,025360815
BG;ARI;2;lag_temp_min_4;0,01595986
BG;ARI;2;month_sin;0,064742684
BG;ARI;2;month_cos;0,3684374
BG;ARI;2;week_sin;0,035723712
BG;ARI;2;week_cos;0,36117396
BG;ARI;3;lag_value_1;0,037111577
BG;ARI;3;lag_value_2;0,02705023
BG;ARI;3;lag_value_3;0,022188444
BG;ARI;3;lag_value_4;0,036803637
BG;ARI;3;lag_temp_min_4;0,030669028
BG;ARI;3;month_sin;0,042688552
BG;ARI;3;month_cos;0,40977913
BG;ARI;3;week_sin;0,051683538
BG;ARI;3;week_cos;0,34202585
BG;ARI;4;lag_value_1;0,03471918
BG;ARI;4;lag_value_2;0,017516902
BG;ARI;4;lag_value_3;0,024393868
BG;ARI;4;lag_value_4;0,040796936
BG;ARI;4;lag_temp_min_4;0,030124431
BG;ARI;4;month_sin;0,017048722
BG;ARI;4;month_cos;0,43171895
BG;ARI;4;week_sin;0,05164978
BG;ARI;4;week_cos;0,35203117
CZ;ARI;1;temperature_2m_max;0,024143415
CZ;ARI;1;covid;0,007850338
CZ;ARI;1;lag_value_1;0,7838701
CZ;ARI;1;lag_temp_max_1;0,02467049
CZ;ARI;1;lag_value_3;0,012374283
CZ;ARI;1;lag_value_4;0,022682374
CZ;ARI;1;month_sin;0,012917061
CZ;ARI;1;month_cos;0,04179545
CZ;ARI;1;week_sin;0,015230986
CZ;ARI;1;week_cos;0,05446552
CZ;ARI;2;temperature_2m_max;0,05056063
CZ;ARI;2;covid;0,029304044
CZ;ARI;2;lag_value_1;0,5654226
CZ;ARI;2;lag_temp_max_1;0,036062438
CZ;ARI;2;lag_value_3;0,022714315
CZ;ARI;2;lag_value_4;0,047947727
CZ;ARI;2;month_sin;0,035263773
CZ;ARI;2;month_cos;0,10619432
CZ;ARI;2;week_sin;0,054055847
CZ;ARI;2;week_cos;0,05247431
CZ;ARI;3;temperature_2m_max;0,05652345
CZ;ARI;3;covid;0,034814432
CZ;ARI;3;lag_value_1;0,36896443
CZ;ARI;3;lag_temp_max_1;0,0410701
CZ;ARI;3;lag_value_3;0,0511411
CZ;ARI;3;lag_value_4;0,03300052
CZ;ARI;3;month_sin;0,043649852
CZ;ARI;3;month_cos;0,27403146
CZ;ARI;3;week_sin;0,053599864
CZ;ARI;3;week_cos;0,04320467
CZ;ARI;4;temperature_2m_max;0,03311957
CZ;ARI;4;covid;0,049468014
CZ;ARI;4;lag_value_1;0,17695913
CZ;ARI;4;lag_temp_max_1;0,030544018
CZ;ARI;4;lag_value_3;0,040027898
CZ;ARI;4;lag_value_4;0,033006568
CZ;ARI;4;month_sin;0,054532714
CZ;ARI;4;month_cos;0,39701968
CZ;ARI;4;week_sin;0,033292804
CZ;ARI;4;week_cos;0,15202959
CZ;ILI;1;temperature_2m_max;0,021884013
CZ;ILI;1;temperature_2m_min;0,02350397
CZ;ILI;1;lag_value_1;0,7053204
CZ;ILI;1;lag_temp_max_1;0,027595708
CZ;ILI;1;lag_temp_max_2;0,04287714
CZ;ILI;1;lag_value_3;0,026835803
CZ;ILI;1;lag_temp_min_3;0,035870858
CZ;ILI;1;lag_value_4;0,08264616
CZ;ILI;1;month_sin;0,0020031775
CZ;ILI;1;week_sin;0,025571486
CZ;ILI;1;week_cos;0,0058913464
CZ;ILI;2;temperature_2m_max;0,063202456
CZ;ILI;2;temperature_2m_min;0,06949424
CZ;ILI;2;lag_value_1;0,44406644
CZ;ILI;2;lag_temp_max_1;0,072753645
CZ;ILI;2;lag_temp_max_2;0,030108863
CZ;ILI;2;lag_value_3;0,024248479
CZ;ILI;2;lag_temp_min_3;0,037280288
CZ;ILI;2;lag_value_4;0,18759218
CZ;ILI;2;month_sin;0,020610545
CZ;ILI;2;week_sin;0,030616296
CZ;ILI;2;week_cos;0,020026637
CZ;ILI;3;temperature_2m_max;0,14318465
CZ;ILI;3;temperature_2m_min;0,04280686
CZ;ILI;3;lag_value_1;0,2687625
CZ;ILI;3;lag_temp_max_1;0,05145576
CZ;ILI;3;lag_temp_max_2;0,040756665
CZ;ILI;3;lag_value_3;0,04404392
CZ;ILI;3;lag_temp_min_3;0,030352395
CZ;ILI;3;lag_value_4;0,21626072
CZ;ILI;3;month_sin;0,08117743
CZ;ILI;3;week_sin;0,030514788
CZ;ILI;3;week_cos;0,05068429
CZ;ILI;4;temperature_2m_max;0,079210125
CZ;ILI;4;temperature_2m_min;0,024130682
CZ;ILI;4;lag_value_1;0,12590615
CZ;ILI;4;lag_temp_max_1;0,17003457
CZ;ILI;4;lag_temp_max_2;0,112472475
CZ;ILI;4;lag_value_3;0,07403774
CZ;ILI;4;lag_temp_min_3;0,03247747
CZ;ILI;4;lag_value_4;0,15494123
CZ;ILI;4;month_sin;0,15582205
CZ;ILI;4;week_sin;0,032970823
CZ;ILI;4;week_cos;0,03799679
DE;ARI;1;year;0,02206202
DE;ARI;1;lag_value_1;0,6644962
DE;ARI;1;lag_value_3;0,03248771
DE;ARI;1;lag_value_4;0,032719694
DE;ARI;1;month_sin;0,0359436
DE;ARI;1;month_cos;0,108171806
DE;ARI;1;week_sin;0,024342632
DE;ARI;1;week_cos;0,07977635
DE;ARI;2;year;0,032056876
DE;ARI;2;lag_value_1;0,44106653
DE;ARI;2;lag_value_3;0,056436095
DE;ARI;2;lag_value_4;0,061890002
DE;ARI;2;month_sin;0,04579278
DE;ARI;2;month_cos;0,19545153
DE;ARI;2;week_sin;0,06654817
DE;ARI;2;week_cos;0,10075798
DE;ARI;3;year;0,041666124
DE;ARI;3;lag_value_1;0,20737006
DE;ARI;3;lag_value_3;0,05038419
DE;ARI;3;lag_value_4;0,034579087
DE;ARI;3;month_sin;0,054093312
DE;ARI;3;month_cos;0,47390306
DE;ARI;3;week_sin;0,07628292
DE;ARI;3;week_cos;0,061721288
DE;ARI;4;year;0,060888458
DE;ARI;4;lag_value_1;0,06400465
DE;ARI;4;lag_value_3;0,030380562
DE;ARI;4;lag_value_4;0,029284654
DE;ARI;4;month_sin;0,08796201
DE;ARI;4;month_cos;0,5800413
DE;ARI;4;week_sin;0,06903631
DE;ARI;4;week_cos;0,078402095
DK;ILI;1;temperature_2m_min;0,019969277
DK;ILI;1;covid;0,02183877
DK;ILI;1;year;0,013171617
DK;ILI;1;lag_value_1;0,48280928
DK;ILI;1;lag_humidity_1;0,033283323
DK;ILI;1;lag_temp_min_1;0,020861378
DK;ILI;1;lag_value_2;0,11177319
DK;ILI;1;lag_temp_max_2;0,0321595
DK;ILI;1;lag_temp_min_2;0,036914423
DK;ILI;1;lag_value_3;0,01703235
DK;ILI;1;lag_temp_min_3;0,048154447
DK;ILI;1;lag_value_4;0,016191281
DK;ILI;1;month_sin;0,010131522
DK;ILI;1;month_cos;0,04671374
DK;ILI;1;week_sin;0,054029107
DK;ILI;1;week_cos;0,03496672
DK;ILI;2;temperature_2m_min;0,027323218
DK;ILI;2;covid;0,0484602
DK;ILI;2;year;0,018877087
DK;ILI;2;lag_value_1;0,3511881
