;location;model;prediction_window;mae;rmse
86;EE;SARIMA;3_week;0,29305604685134135;77,54653132431093
87;EE;SARIMA;4_week;0,32550602504311693;85,93324132520058
88;PL;SARIMA;1_week;0,14235250610342268;86,41714810503711
89;PL;SARIMA;2_week;0,26745240177805063;129,93556790274476
90;PL;SARIMA;3_week;0,31527060245176514;147,60172408800014
91;PL;SARIMA;4_week;0,3456582987876328;152,50035035711574
92;FR;SARIMA;1_week;0,15461844586009624;23,706208465042426
93;FR;SARIMA;2_week;0,35530735125203605;67,95812842267007
94;FR;SARIMA;3_week;0,5213578161482619;99,46013688518043
95;FR;SARIMA;4_week;0,6693021557396084;113,09079322248463
96;AT;SARIMA;1_week;0,1740410612669359;586,5952067608539
97;AT;SARIMA;2_week;0,23599960651451188;732,7237288986234
98;AT;SARIMA;3_week;0,30475013994799555;895,4228632273071
99;AT;SARIMA;4_week;0,31149134323773076;920,355781836566
100;HR;SARIMA;1_week;22130438601289,02;5,875890910522889
101;HR;SARIMA;2_week;42386241201854,49;18,199361169923712
102;HR;SARIMA;3_week;43881684865702,016;25,96074846299159
103;HR;SARIMA;4_week;4284368695481,9536;28,588486282746786
104;RO;SARIMA;1_week;162977325418683,88;3,813536191279472
105;RO;SARIMA;2_week;484665951349084,06;8,729614292099637
106;RO;SARIMA;3_week;999556036041515,4;11,287618132589051
107;RO;SARIMA;4_week;1182740031179470,0;12,159438804170998
108;GR;SARIMA;1_week;0,16313618314802017;229,20751017917343
109;GR;SARIMA;2_week;0,2431928478297804;353,3876221543664
110;GR;SARIMA;3_week;0,2801143295702523;394,5605524995829
111;GR;SARIMA;4_week;0,2986924456105653;413,50161005132867
112;HU;SARIMA;1_week;0,19081091298092007;60,75095281761669
113;HU;SARIMA;2_week;0,4167909038541569;140,65685026741087
114;HU;SARIMA;3_week;0,5799416116950638;206,71707187703768
115;HU;SARIMA;4_week;0,7478021084238321;242,49088277155374
116;IE;SARIMA;1_week;0,36684242724819466;4,726236007076845
117;IE;SARIMA;2_week;0,578348614232503;4,777086123294765
118;IE;SARIMA;3_week;0,7117250398216737;5,068398034772597
119;IE;SARIMA;4_week;0,7124175226071928;6,064595404669681
120;LV;SARIMA;1_week;0,46121411369208687;45,75325367225202
121;LV;SARIMA;2_week;1,1330561277258946;124,32107546071204
122;LV;SARIMA;3_week;1,5599508422950337;187,86790702940996
123;LV;SARIMA;4_week;1,4780085138763395;231,2103418186377
124;BE;SARIMA;1_week;0,42959087371945315;112,38438545600985
125;BE;SARIMA;2_week;0,5930984538468185;173,8205090499607
126;BE;SARIMA;3_week;0,6839621663320288;208,33323039343327
127;BE;SARIMA;4_week;0,7942153287807858;204,5838383957567
128;LU;SARIMA;1_week;4,752990864771474e+17;2595,2339371864064
129;LU;SARIMA;2_week;7,415044766441964e+17;3092,577312680955
130;LU;SARIMA;3_week;7,270965821291932e+17;3329,622564584847
131;LU;SARIMA;4_week;1,3353752822569426e+18;3754,767407514794
132;LT;SARIMA;1_week;0,2859734161924801;12,294467035046308
133;LT;SARIMA;2_week;0,5098347314221399;38,44180595495055
134;LT;SARIMA;3_week;0,7644785904210873;52,81119998485357
135;LT;SARIMA;4_week;1,0494128813016226;57,790808489639744
136;NL;SARIMA;1_week;0,3404596324296903;7,912273832513657
137;NL;SARIMA;2_week;0,5019470351911377;14,365382094907087
138;NL;SARIMA;3_week;0,5758480058931145;17,106097324302816
139;NL;SARIMA;4_week;0,7424732353335861;18,127245937764297
140;CZ;SARIMA;1_week;0,24795422775747145;10,414131085023417
141;CZ;SARIMA;2_week;0,4582360229748277;34,13956122521215
142;CZ;SARIMA;3_week;0,6781786016250537;47,87701799041835
143;CZ;SARIMA;4_week;0,8486915991650947;51,13050337660346
144;NO;SARIMA;1_week;0,16539891097627013;8,044373018890788
145;NO;SARIMA;2_week;0,2694930754669422;10,341689713333519
146;NO;SARIMA;3_week;0,3589582881574315;13,767425462204324
147;NO;SARIMA;4_week;0,4490030335165331;17,091759356593496
148;MT;SARIMA;1_week;0,23796470417674756;1629,4812256201678
149;MT;SARIMA;2_week;0,33041756834689046;2181,598677763029
150;MT;SARIMA;3_week;0,48830969996695106;2972,786560638968
151;MT;SARIMA;4_week;0,606444046617952;3256,765333873663
152;MT;SARIMAX;1_week;0,27178030342604365;1767,6659469460083
153;MT;SARIMAX;2_week;0,37526203400744423;2602,404021185647
154;MT;SARIMAX;3_week;0,5413946761372093;3372,5103705535444
155;MT;SARIMAX;4_week;0,6284000385607805;3542,5972377512135
