value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
95,2;76,376366;14,638928;8,803214;1;2023;93,5;78,60967;15,238929;10,581785;83,2;82,650444;18,596071;14,0175;71,1;77,92577;18,546072;15,053214;66,1;79,85323;19,624643;14,653214;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;93,8;123,7;138,0;84,577286;87,680595;99,06813;105,32548
93,8;78,58533;11,003214;6,896072;1;2023;95,2;76,376366;14,638928;8,803214;93,5;78,60967;15,238929;10,581785;83,2;82,650444;18,596071;14,0175;71,1;77,92577;18,546072;15,053214;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;123,7;138,0;158,0;83,66914;87,9325;96,885506;107,91893
123,7;84,659584;10,231786;7,4103575;1;2023;93,8;78,58533;11,003214;6,896072;95,2;76,376366;14,638928;8,803214;93,5;78,60967;15,238929;10,581785;83,2;82,650444;18,596071;14,0175;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;138,0;158,0;139,7;84,77884;85,43849;95,23076;102,87798
138,0;85,7364;10,796072;7,424643;1;2023;123,7;84,659584;10,231786;7,4103575;93,8;78,58533;11,003214;6,896072;95,2;76,376366;14,638928;8,803214;93,5;78,60967;15,238929;10,581785;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;158,0;139,7;173,7;120,952896;115,162766;106,03687;110,731255
158,0;87,43144;8,924643;6,7246428;1;2023;138,0;85,7364;10,796072;7,424643;123,7;84,659584;10,231786;7,4103575;93,8;78,58533;11,003214;6,896072;95,2;76,376366;14,638928;8,803214;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;139,7;173,7;200,2;127,6117;121,93744;121,90174;126,33995
139,7;86,39363;6,1817856;3,6389287;1;2023;158,0;87,43144;8,924643;6,7246428;138,0;85,7364;10,796072;7,424643;123,7;84,659584;10,231786;7,4103575;93,8;78,58533;11,003214;6,896072;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;173,7;200,2;230,5;140,83693;149,18776;170,39499;158,52635
173,7;78,30877;4,231786;-0,12535712;1;2023;139,7;86,39363;6,1817856;3,6389287;158,0;87,43144;8,924643;6,7246428;138,0;85,7364;10,796072;7,424643;123,7;84,659584;10,231786;7,4103575;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;200,2;230,5;244,0;134,99174;134,50198;124,89132;127,51197
200,2;79,379005;-0,11107145;-3,0825;1;2023;173,7;78,30877;4,231786;-0,12535712;139,7;86,39363;6,1817856;3,6389287;158,0;87,43144;8,924643;6,7246428;138,0;85,7364;10,796072;7,424643;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;230,5;244,0;214,0;163,51312;162,71858;175,1118;175,5524
230,5;86,71019;3,1603572;1,6746428;1;2023;200,2;79,379005;-0,11107145;-3,0825;173,7;78,30877;4,231786;-0,12535712;139,7;86,39363;6,1817856;3,6389287;158,0;87,43144;8,924643;6,7246428;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;244,0;214,0;197,1;174,31009;185,43958;166,80046;170,5117
244,0;89,36784;5,0675;2,6889288;1;2023;230,5;86,71019;3,1603572;1,6746428;200,2;79,379005;-0,11107145;-3,0825;173,7;78,30877;4,231786;-0,12535712;139,7;86,39363;6,1817856;3,6389287;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;214,0;197,1;179,0;186,13785;159,9262;152,05643;143,17755
214,0;85,56958;6,124643;1,7389286;1;2023;244,0;89,36784;5,0675;2,6889288;230,5;86,71019;3,1603572;1,6746428;200,2;79,379005;-0,11107145;-3,0825;173,7;78,30877;4,231786;-0,12535712;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;197,1;179,0;203,9;185,34413;168,61052;157,26071;150,14955
197,1;85,541985;6,6925;3,63625;1;2023;214,0;85,56958;6,124643;1,7389286;244,0;89,36784;5,0675;2,6889288;230,5;86,71019;3,1603572;1,6746428;200,2;79,379005;-0,11107145;-3,0825;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;179,0;203,9;172,4;182,69112;165,75566;162,30452;159,01704
